Date,Open,Close,Volume
2023-12-06,131.44,130.02,22897543
2023-12-05,128.95,130.99,27384784
2023-12-04,129.88,129.27,36669876
2023-12-01,131.86,131.86,31442263
2023-11-30,135.05,132.53,38988263
2023-11-29,137.57,134.99,23967222
2023-11-28,136.08,137.2,18730032
2023-11-27,136.03,136.41,23436526
2023-11-24,138.03,136.69,12514322
2023-11-22,137.47,138.49,17820456
2023-11-21,136.29,136.97,22635272
2023-11-20,133.69,136.25,27850762
2023-11-17,136.0,135.31,37287691
2023-11-16,135.19,136.93,28013179
2023-11-15,134.87,134.62,23861515
2023-11-14,134.19,133.62,32395178
2023-11-13,131.78,132.09,18324751
2023-11-10,130.105,132.59,26927826
2023-11-09,131.96,130.24,23747773
2023-11-08,130.97,131.84,26425849
2023-11-07,130.71,130.97,29757276
2023-11-06,129.05,130.25,19052740
2023-11-03,128.02,129.1,26393109
2023-11-02,128.42,127.49,27124647
2023-11-01,124.07,126.45,30082438
2023-10-31,125.06,124.08,26292342
2023-10-30,123.21,124.46,28940081
2023-10-27,122.88,122.17,44566506
2023-10-26,123.27,122.28,57061140
2023-10-25,128.16,125.61,84366208
2023-10-24,137.83,138.81,44814321
2023-10-23,135.04,136.5,26317930
2023-10-20,137.33,135.6,26335673
2023-10-19,138.5,137.75,26066011
2023-10-18,139.445,137.96,23374998
2023-10-17,138.63,139.72,23515780
2023-10-16,138.17,139.095,28501871
2023-10-13,139.38,137.36,23435599
2023-10-12,141.05,138.97,24765537
2023-10-11,138.58,140.55,25884303
2023-10-10,138.5,138.06,27786613
2023-10-09,136.94,138.42,19278070
2023-10-06,134.01,137.58,27597598
2023-10-05,135.07,135.07,19832615
2023-10-04,132.79,135.24,26752295
2023-10-03,133.94,132.43,22989401
2023-10-02,131.21,134.17,22288038
2023-09-29,133.28,130.86,30859790
2023-09-28,129.84,132.31,22513132
2023-09-27,128.57,130.54,22746452
2023-09-26,129.77,128.565,25718704
2023-09-25,129.83,131.11,20094643
2023-09-22,130.76,130.25,26397337
2023-09-21,131.44,130.44,31503910
2023-09-20,138.08,133.74,29927475
2023-09-19,137.42,138.04,20353653
2023-09-18,136.61,138.21,21861346
2023-09-15,137.98,137.4,38919614
2023-09-14,137.6,138.1,24750968
2023-09-13,135.09,136.71,20749496
2023-09-12,136.26,135.34,18405505
2023-09-11,136.54,136.92,20763350
2023-09-08,134.91,136.38,23584188
2023-09-07,133.59,135.26,18844342
2023-09-06,136.02,134.46,18684534
2023-09-05,135.44,135.77,19403112
2023-09-01,137.455,135.66,21543687
2023-08-31,136.01,136.17,30053800
2023-08-30,134.78,135.88,28315769
2023-08-29,132.24,134.57,43075556
2023-08-28,131.31,131.01,20543266
2023-08-25,129.54,129.88,26762891
2023-08-24,133.95,129.78,28500694
2023-08-23,130.18,132.37,27819713
2023-08-22,128.51,129.08,22067520
2023-08-21,127.175,128.37,25248729
2023-08-18,128.51,127.46,30504769
2023-08-17,129.8,129.92,33446280
2023-08-16,128.7,128.7,25216068
2023-08-15,131.1,129.78,19770732
2023-08-14,129.39,131.33,24695608
2023-08-11,128.66,129.56,19591080
2023-08-10,131.32,129.69,20857754
2023-08-09,131.66,129.66,24912918
2023-08-08,130.62,131.4,23535181
2023-08-07,129.16,131.53,22746290
2023-08-04,129.28,128.11,26147158
2023-08-03,127.97,128.45,20159528
2023-08-02,129.45,128.38,26273258
2023-08-01,130.775,131.55,23276440
2023-07-31,132.73,132.72,28055531
2023-07-28,130.78,132.58,36591158
2023-07-27,131.67,129.4,44952074
2023-07-26,130.07,129.27,61682093
2023-07-25,121.36,122.21,52509551
2023-07-24,121.66,121.53,29723667
2023-07-21,120.62,120.02,71606474
2023-07-20,121.42,119.2,37906763
2023-07-19,124.6,122.03,37224033
2023-07-18,124.6,123.76,26226447
2023-07-17,125.94,124.65,25716215
2023-07-14,124.8,125.42,33283076
2023-07-13,120.93,124.54,44297915
2023-07-12,118.8,118.93,30404409
2023-07-11,116.29,117.14,23078782
2023-07-10,118.3,116.45,35315235
2023-07-07,120.1,119.48,21709549
2023-07-06,119.795,120.11,24778801
2023-07-05,119.24,121.75,27584809
2023-07-03,119.24,119.9,14467850
2023-06-30,120.17,119.7,29532241
2023-06-29,119.24,119.1,24090902
2023-06-28,117.09,120.18,27091449
2023-06-27,117.08,118.33,39535936
2023-06-26,120.76,118.34,33969897
2023-06-23,121.38,122.34,34913637
2023-06-22,120.0,123.15,26952246
2023-06-21,122.4,120.55,30306336
2023-06-20,122.93,123.1,26097492
2023-06-16,125.93,123.53,45535553
2023-06-15,123.14,125.09,35246268
2023-06-14,123.1,123.67,30592297
2023-06-13,124.98,123.83,22278313
2023-06-12,122.785,123.64,28338743
2023-06-09,122.25,122.23,23778319
2023-06-08,122.225,122.14,29389167
2023-06-07,126.97,122.5,52538986
2023-06-06,126.01,127.31,26638295
2023-06-05,124.01,126.01,32305531
2023-06-02,123.99,124.67,26980147
2023-06-01,122.815,123.72,30772683
2023-05-31,122.75,122.87,37244191
2023-05-30,125.64,123.67,35076658
2023-05-26,123.17,124.61,35635937
2023-05-25,124.52,123.48,42316986
2023-05-24,121.12,120.9,34182635
2023-05-23,124.16,122.56,34046251
2023-05-22,122.94,125.05,35253034
2023-05-19,123.55,122.76,41353445
2023-05-18,120.95,122.83,35234233
2023-05-17,119.61,120.84,33323588
2023-05-16,116.49,119.51,45035558
2023-05-15,116.11,116.51,36266765
2023-05-12,116.68,117.51,41102330
2023-05-11,115.395,116.57,78900029
2023-05-10,107.97,111.75,63153367
2023-05-09,108.39,107.35,36360141
2023-05-08,105.18,107.77,26511445
2023-05-05,104.82,105.57,26639254
2023-05-04,105.485,104.69,23419506
2023-05-03,105.53,105.41,21795405
2023-05-02,107.14,105.32,30997245
2023-05-01,106.84,107.2,26681680
2023-04-28,107.04,107.34,36139847
2023-04-27,104.45,107.59,50089187
2023-04-26,104.92,103.71,53139175
2023-04-25,105.825,103.85,46664104
2023-04-24,105.49,105.97,23542829
2023-04-21,105.47,105.41,25800082
2023-04-20,103.91,105.29,27820794
2023-04-19,103.58,104.18,20905684
2023-04-18,106.49,104.5,26596445
2023-04-17,104.658,105.97,37402371
2023-04-14,106.89,108.87,26578002
2023-04-13,105.84,107.43,24843579
2023-04-12,106.58,104.64,24370274
2023-04-11,106.55,105.35,26311803
2023-04-10,106.98,106.44,27067355
2023-04-06,105.26,108.42,48711480
2023-04-05,105.78,104.47,28290503
2023-04-04,104.33,104.72,24420079
2023-04-03,102.39,104.36,25035399
2023-03-31,101.3,103.73,36863369
2023-03-30,100.91,100.89,33086183
2023-03-29,102.28,101.39,28779572
2023-03-28,102.44,101.03,32057865
2023-03-27,104.615,102.46,31120864
2023-03-24,104.99,105.44,30411043
2023-03-23,105.06,105.6,40797769
2023-03-22,104.27,103.37,43427419
2023-03-21,101.25,104.92,42110279
2023-03-20,100.12,101.22,32960440
2023-03-17,100.26,101.62,61028547
2023-03-16,96.2,100.32,65567656
2023-03-15,93.22,96.11,50622050
2023-03-14,92.56,93.97,36050214
2023-03-13,90.09,91.11,37335573
2023-03-10,92.17,90.63,35941046
2023-03-09,94.05,92.32,28813532
2023-03-08,94.12,94.25,34103265
2023-03-07,94.98,93.86,27835476
2023-03-06,94.015,95.13,32639313
2023-03-03,92.48,93.65,35160105
2023-03-02,89.66,92.0,32226229
2023-03-01,89.98,90.36,31111225
2023-02-28,89.33,90.06,30142039
2023-02-27,89.87,89.87,27502302
2023-02-24,89.44,89.13,36585093
2023-02-23,91.92,90.89,41206380
2023-02-22,91.7,91.65,30884017
2023-02-21,93.0,91.79,33629256
2023-02-17,94.85,94.35,34284118
2023-02-16,95.37,95.51,42462618
2023-02-15,94.49,96.94,50298481
2023-02-14,94.43,94.68,54726120
2023-02-13,94.74,94.61,50076120
2023-02-10,95.45,94.57,54980696
2023-02-09,100.0,95.01,119455020
2023-02-08,102.05,99.37,94743515
2023-02-07,103.22,107.64,49010230
2023-02-06,102.4,102.9,31999562
2023-02-03,102.93,104.78,65309261
2023-02-02,105.8,107.74,69883762
2023-02-01,98.71,100.43,35531104
2023-01-31,96.87,98.84,29870669
2023-01-30,97.48,96.94,27226198
2023-01-27,97.31,99.37,33879753
2023-01-26,96.5,97.52,30113974
2023-01-25,95.57,95.22,42329952
2023-01-24,98.1,97.7,33078512
2023-01-23,97.95,99.79,40005055
2023-01-20,95.1,98.02,63191078
2023-01-19,90.72,93.05,37000395
2023-01-18,92.14,91.12,29116691
2023-01-17,92.06,91.29,32602423
2023-01-13,90.85,92.12,26329212
2023-01-12,91.48,91.13,30258135
2023-01-11,89.18,91.52,26861969
2023-01-10,85.98,88.42,30467755
2023-01-09,88.36,88.02,29003901
2023-01-06,86.79,87.34,41381495
2023-01-05,87.47,86.2,27194375
2023-01-04,90.35,88.08,34854776
2023-01-03,89.585,89.12,28131224
2022-12-30,86.98,88.23,23986297
2022-12-29,86.62,88.45,23333537
2022-12-28,86.98,86.02,19523176
2022-12-27,88.795,87.39,20097346
2022-12-23,87.11,89.23,23003035
2022-12-22,88.16,87.76,27658293
2022-12-21,89.08,89.58,24745637
2022-12-20,88.11,89.02,23453836
2022-12-19,90.255,88.44,29493030
2022-12-16,90.76,90.26,58011847
2022-12-15,93.13,90.86,40107033
2022-12-14,95.2,95.07,28733599
2022-12-13,97.76,95.63,40593656
2022-12-12,92.71,93.31,29009013
2022-12-09,93.77,92.83,28225448
2022-12-08,95.38,93.71,32213288
2022-12-07,96.41,94.94,31045449
2022-12-06,99.3,96.98,24910655
2022-12-05,99.4,99.48,24405087
2022-12-02,99.05,100.44,21480703
2022-12-01,101.02,100.99,28687096
2022-11-30,94.82,100.99,43647481
2022-11-29,95.73,95.19,20061720
2022-11-28,97.0363,96.05,26252433
2022-11-25,98.24,97.46,9701441
2022-11-23,97.09,98.46,18868092
2022-11-22,95.95,97.05,23438480
2022-11-21,97.29,95.6,21647387
2022-11-18,98.77,97.43,28342297
2022-11-17,96.97,98.36,26052599
2022-11-16,97.9,98.85,29105154
2022-11-15,98.26,98.44,41640816
2022-11-14,95.09,95.7,30179539
2022-11-11,94.69,96.41,33090482
2022-11-10,92.25,93.94,51620136
2022-11-09,88.45,87.32,31769099
2022-11-08,88.9,88.9,30429025
2022-11-07,87.28,88.49,34078912
2022-11-04,85.4,86.58,51124904
2022-11-03,86.32,83.43,61288019
2022-11-02,90.94,86.97,57038282
2022-11-01,95.45,90.47,47161351
2022-10-31,95.42,94.51,31675036
2022-10-28,92.27,96.29,43697286
2022-10-27,94.52,92.22,60710859
2022-10-26,96.43,94.93,88279042
2022-10-25,102.9,104.48,40611375
2022-10-24,101.8,102.52,27176417
2022-10-21,97.845,101.13,32458722
2022-10-20,100.0,99.97,25323202
2022-10-19,100.01,99.63,23811064
2022-10-18,103.13,100.77,24060671
2022-10-17,98.86,99.97,28419192
2022-10-14,99.99,96.56,25410674
2022-10-13,95.15,99.06,34574549
2022-10-12,97.3,97.56,21876362
2022-10-11,97.43,97.18,26507103
2022-10-10,99.0,97.86,18225094
2022-10-07,99.85,98.68,27502765
2022-10-06,100.68,101.42,22323989
2022-10-05,99.825,101.43,22176903
2022-10-04,100.44,101.64,28850773
2022-10-03,96.76,98.64,27982031
2022-09-30,97.05,95.65,32941493
2022-09-29,98.64,97.42,31047224
2022-09-28,97.65,100.05,32466323
2022-09-27,99.43,97.5,30072781
2022-09-26,98.1,98.17,27072662
2022-09-23,99.63,98.74,31625437
2022-09-22,98.82,100.14,33986096
2022-09-21,101.67,99.28,31487265
2022-09-20,102.08,101.14,26517123
2022-09-19,101.75,103.07,23036811
2022-09-16,102.07,102.8,42797172
2022-09-15,104.03,102.91,34188284
2022-09-14,104.57,105.0,26395134
2022-09-13,107.8,104.32,38172871
2022-09-12,110.99,110.86,22966752
2022-09-09,109.065,110.65,23213585
2022-09-08,108.04,108.38,24238293
2022-09-07,107.06,109.45,23166967
2022-09-06,107.3,106.81,24994273
2022-09-02,110.59,107.85,24160711
2022-09-01,108.28,109.74,28360926
2022-08-31,110.65,108.22,28626972
2022-08-30,110.17,108.94,27513255
2022-08-29,109.99,109.42,21098514
2022-08-26,114.72,110.34,37245697
2022-08-25,114.235,116.65,16956794
2022-08-24,113.5,113.69,17734624
2022-08-23,113.475,113.86,15870373
2022-08-22,115.2,114.24,21456648
2022-08-19,119.06,117.21,21809528
2022-08-18,119.43,120.17,17987660
2022-08-17,120.12,119.55,22846958
2022-08-16,121.52,121.7,19041230
2022-08-15,121.13,122.08,19494825
2022-08-12,120.26,121.68,19096268
2022-08-11,121.28,118.84,24293654
2022-08-10,118.78,119.7,30930350
2022-08-09,117.135,116.63,19086465
2022-08-08,118.39,117.3,19169479
2022-08-05,116.23,117.47,19159520
2022-08-04,117.48,118.19,21602925
2022-08-03,115.71,118.08,28499014
2022-08-02,114.0,115.13,20236029
2022-08-01,115.3,114.86,26034288
2022-07-29,113.08,116.32,37223391
2022-07-28,112.37,114.22,32816568
2022-07-27,109.26,113.06,59858495
2022-07-26,106.6,105.02,47990963
2022-07-25,108.41,107.51,34690894
2022-07-22,111.0,107.9,48901184
2022-07-21,114.28,114.34,32676166
2022-07-20,113.17,113.9,35600426
2022-07-19,110.85,113.81,36530945
2022-07-18,112.64,109.03,42847038
2022-07-15,2240.01,2235.55,2338456
2022-07-14,2204.21,2207.35,1850152
2022-07-13,2234.02,2227.07,2186101
2022-07-12,2324.3,2280.41,1497985
2022-07-11,2359.96,2313.53,1562185
2022-07-08,2345.0,2387.07,1911908
2022-07-07,2301.6,2375.66,2046794
2022-07-06,2266.04,2291.44,1871569
2022-07-05,2142.01,2265.26,1969982
2022-07-01,2158.66,2174.75,1773783
2022-06-30,2200.0,2179.26,2158453
2022-06-29,2231.04,2234.03,1235841
2022-06-28,2316.05,2240.15,1794048
2022-06-27,2365.46,2316.67,1821038
2022-06-24,2259.9,2359.5,2058184
2022-06-23,2244.63,2244.84,1418096
